텔레폰넘버 궁금해요,44,0,similarity,"[('면세 세금 궁금해요', 0.5), ('이거 궁금해', 0.5), ('시간 궁금해', 0.5), ('주차료 궁금해', 0.47058823529411764), ('나이가 궁금해', 0.47058823529411764)]",False
어디에 연락해야되?,0,0,similarity,"[('배가 너무 아파 어디에 연락해야되?', 0.6896551724137931), ('짐 분실하면 어디에 연락해야 되나?', 0.6896551724137931), ('어디에 신고해야되 화물분실', 0.5833333333333334), ('공항에 이상한 물체가 있는데 어디에 연락해야되?', 0.5555555555555556), ('긴급상황시 공항 어디에 전화해야되?', 0.5517241379310345)]",True
문의처번호 알려줘,268,0,similarity,"[('쿠쿠 문의번호 알려줘', 0.8), ('천삼원 문의처 번호 알려줘', 0.782608695652174), ('전하번호 알려줘', 0.7058823529411765), ('T1 식당 문의번호 알려줘', 0.6956521739130435), ('세관 신고 문의번호 알려줘', 0.6956521739130435)]",False
넘버가 궁금해요,300,0,similarity,"[('나이가 궁금해', 0.6666666666666666), ('너 나이가 궁금해', 0.5882352941176471), ('이거 궁금해', 0.5714285714285714), ('시간 궁금해', 0.5714285714285714), ('면세 세금 궁금해요', 0.5555555555555556)]",False
알려주라 폰넘버,154,0,similarity,"[('알려주라 환승어행 방법', 0.5), ('문의처 알려주라 화물축산물검역소', 0.4), ('금액알려줘 주차 맡길때', 0.4), ('예약하고싶은데 전번알려주라 중식당', 0.38461538461538464), ('면세한도 알려주세요 홍삼', 0.38095238095238093)]",False
비상이야 연락해야 되는데 어디다 해,80,0,similarity,"[('계좌이체 해야되는데 어떻게 해', 0.6285714285714286), ('하루 묵어야 되는데 어디 묵지', 0.5714285714285714), ('본부연결이 지연되는데 어떻게 해?', 0.5405405405405406), ('은행 일 봐야되는데 어디로 가', 0.5142857142857142), ('수화물이 안 보이는데 어디다 문의해야할까요?', 0.5116279069767442)]",False
문의사항있는데 어디다 연락하면 좋을까?,258,0,similarity,"[('에어 유로파 관련 문의는 어디다 하면 좋을까요?', 0.6382978723404256), ('비상일때 어디다 전화하면 좋을까?', 0.6153846153846154), ('라오항공 관련 문의사항은 어디다 전화하면 될까?', 0.5957446808510638), ('공항 이용시 비상상황일 때 어디에 연락하면 좋을까?', 0.5714285714285714), ('가족들 마중나가는데 어디로 가면 좋을까?', 0.5581395348837209)]",False
문의는 어디에 해?,28,0,similarity,"[('분실물 문의는 어디에 해?', 0.8333333333333334), ('세관신고 문의는 어디에 해?', 0.8), ('세관신고는 어디에 문의해?', 0.6666666666666666), ('문하공연 어디서 해?', 0.6666666666666666), ('유니항공 문의는 어디서 처리해?', 0.6666666666666666)]",False
문의할 만한 곳 전화번호 알려줘,7,0,similarity,"[('니맛의 매장 전화번호 알려줘', 0.6875), ('동물 검역 문의 가능한 전화번호 알려줘', 0.6842105263157895), ('세관 신고 관해 문의할 수 있는 곳 전화번호 알려줘', 0.6666666666666666), ('차량 렌트가능한 곳 문의 전화번호 알려줘', 0.6666666666666666), ('셀린느에 교환 문의할 수 있는 전화번호 알려줘', 0.6666666666666666)]",False
고객센터 번호 알려줘,268,0,similarity,"[('구찌 번호 알려줘', 0.7), ('유실물건 관리 센터 번호 알려줘', 0.6428571428571429), ('세관 신고 문의번호 알려줘', 0.64), ('환대고객 위치 알려줘', 0.6363636363636364), ('로밍센터 위치 알려줘', 0.6363636363636364)]",False
